Running on host gpu05.bc4.acrc.priv
Time is Tue Dec 8 19:09:45 GMT 2020
Directory is /mnt/storage/home/tg17437/adl/adl_cw
Slurm job ID is 4072753
This job runs on the following machines:
gpu05
GPU number: 0
Writing logs to logs/CNN_bs=128_lr=0.03_run_8
epoch: [6], step: [57/157], batch loss: 0.13576, batch accuracy: 0.00, data load time: 0.00172, step time: 0.07635
epoch: [6], step: [67/157], batch loss: 0.13518, batch accuracy: 0.00, data load time: 0.00161, step time: 0.08218
epoch: [6], step: [77/157], batch loss: 0.13697, batch accuracy: 0.00, data load time: 0.00165, step time: 0.08243
epoch: [6], step: [87/157], batch loss: 0.13768, batch accuracy: 0.00, data load time: 0.00165, step time: 0.07634
epoch: [6], step: [97/157], batch loss: 0.13572, batch accuracy: 0.00, data load time: 0.00163, step time: 0.08142
epoch: [6], step: [107/157], batch loss: 0.13518, batch accuracy: 0.00, data load time: 0.00139, step time: 0.07594
epoch: [6], step: [117/157], batch loss: 0.13973, batch accuracy: 0.00, data load time: 0.00140, step time: 0.07625
epoch: [6], step: [127/157], batch loss: 0.13310, batch accuracy: 0.00, data load time: 0.00137, step time: 0.07606
epoch: [6], step: [137/157], batch loss: 0.13395, batch accuracy: 0.00, data load time: 0.00138, step time: 0.07602
epoch: [6], step: [147/157], batch loss: 0.13844, batch accuracy: 0.00, data load time: 0.00136, step time: 0.07610
epoch: [7], step: [0/157], batch loss: 0.13547, batch accuracy: 0.00, data load time: 2.43019, step time: 0.08678
epoch: [7], step: [10/157], batch loss: 0.13961, batch accuracy: 0.00, data load time: 0.00203, step time: 0.07632
epoch: [7], step: [20/157], batch loss: 0.13754, batch accuracy: 0.00, data load time: 0.00169, step time: 0.07615
epoch: [7], step: [30/157], batch loss: 0.13882, batch accuracy: 0.00, data load time: 0.00160, step time: 0.07625
epoch: [7], step: [40/157], batch loss: 0.13767, batch accuracy: 0.00, data load time: 0.00160, step time: 0.07645
epoch: [7], step: [50/157], batch loss: 0.13620, batch accuracy: 0.00, data load time: 0.00165, step time: 0.08165
epoch: [7], step: [60/157], batch loss: 0.13397, batch accuracy: 0.00, data load time: 0.00165, step time: 0.08752
epoch: [7], step: [70/157], batch loss: 0.13877, batch accuracy: 0.00, data load time: 0.00181, step time: 0.07634
epoch: [7], step: [80/157], batch loss: 0.13654, batch accuracy: 0.00, data load time: 0.00163, step time: 0.08196
epoch: [7], step: [90/157], batch loss: 0.13916, batch accuracy: 0.00, data load time: 0.00166, step time: 0.07625
epoch: [7], step: [100/157], batch loss: 0.13812, batch accuracy: 0.00, data load time: 0.00194, step time: 0.07618
epoch: [7], step: [110/157], batch loss: 0.13808, batch accuracy: 0.00, data load time: 0.00143, step time: 0.07606
epoch: [7], step: [120/157], batch loss: 0.13384, batch accuracy: 0.00, data load time: 0.00139, step time: 0.07597
epoch: [7], step: [130/157], batch loss: 0.13855, batch accuracy: 0.00, data load time: 0.00138, step time: 0.07605
epoch: [7], step: [140/157], batch loss: 0.13664, batch accuracy: 0.00, data load time: 0.00138, step time: 0.07601
epoch: [7], step: [150/157], batch loss: 0.13554, batch accuracy: 0.00, data load time: 0.00138, step time: 0.07594
validation loss: 0.01916, accuracy: 0.00
epoch: [8], step: [3/157], batch loss: 0.13525, batch accuracy: 0.00, data load time: 0.00239, step time: 0.08126
epoch: [8], step: [13/157], batch loss: 0.13732, batch accuracy: 0.00, data load time: 0.00160, step time: 0.07628
